202105|Accounting|Accounting I|55696|ACCT 2101|ES|Class|12:30 pm - 2:40 pm|MTWR|College of Business 200|Ryan   Blunck (P)|GraduateSemester,UndergraduateSemester|3.000 Credits|HybridCourse
202105|Accounting|Accounting II|55697|ACCT 2102|LS|Class|9:30 am - 11:40 am|MTWR|College of Business 201|Arnold   Schneider (P)|GraduateSemester,UndergraduateSemester|3.000 Credits|HybridCourse
202105|Aerospace Engineering|Thermodyn&Fluids Fundam|57064|AE 2010|A|Class|9:30 am - 12:15 pm|MW|Skiles 202|Turab Ali  Zaidi (P)|GraduateSemester,UndergraduateSemester|4.000 Credits|HybridCourse,STEMUSG
202105|Aerospace Engineering|Thermodyn&Fluids Fundam|57400|AE 2010|R|Class|4:00 pm - 5:55 pm|MW|TBA|Jechiel   Jagoda (P)|GraduateSemester,UndergraduateSemester|4.000 Credits|GTLMetz(UGProgram),StudyAbroadUGremote,STEMUSG
202105|Aerospace Engineering|AE 2010 Recitation|59014|AE 2010R|A|Class|5:00 pm - 6:15 pm|M|Guggenheim 442|Turab Ali  Zaidi (P)|GraduateSemester,UndergraduateSemester|0.000 Credits|HybridCourse
202105|Aerospace Engineering|Fluids Fundamentals|58237|AE 2011|A|Class|9:30 am - 12:15 pm|MW|Skiles 202|Turab Ali  Zaidi (P)|GraduateSemester,UndergraduateSemester|2.000 Credits|HybridCourse
202105|Aerospace Engineering|Fluids Fundamentals|58441|AE 2011|R|Class|10:30 am - 11:25 am|MTWR|TBA|TBA|GraduateSemester,UndergraduateSemester|2.000 Credits|GTLMetz(UGProgram)
202105|Aerospace Engineering|Dynamics|52481|AE 2220|A|Class|9:30 am - 11:40 am|TR|Skiles 308|Mayuresh Jayawant  Patil (P)|GraduateSemester,UndergraduateSemester|3.000 Credits|HybridCourse,STEMUSG,TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Dynamics|57401|AE 2220|R|Class|TBA||TBA|Mayuresh Jayawant  Patil (P)|GraduateSemester,UndergraduateSemester|3.000 Credits|HybridCourse,GTLMetz(UGProgram),StudyAbroadUGremote,STEMUSG
202105|Aerospace Engineering|AE 2220 Recitation|59015|AE 2220R|A|Class|5:00 pm - 6:15 pm|R|Guggenheim 442|Mayuresh Jayawant  Patil (P)|GraduateSemester,UndergraduateSemester|0.000 Credits|HybridCourse
202105|Aerospace Engineering|3D Dynamics|58238|AE 2221|A|Class|9:30 am - 11:40 am|TR|Skiles 308|Mayuresh Jayawant  Patil (P)|GraduateSemester,UndergraduateSemester|1.000 Credits|HybridCourse
202105|Aerospace Engineering|Intro Exper Methods AE|58867|AE 2610|A|Class|12:30 pm - 1:45 pm|W|Skiles 368|Wenting   Sun (P)|GraduateSemester,UndergraduateSemester|1.000 Credits|HybridCourse,STEMUSG
202105|Aerospace Engineering|Intro Exper Methods AE|58868|AE 2610|A01|Class|3:30 pm - 6:15 pm|T|Engr Science & Mech G4|Wenting   Sun (P)|GraduateSemester,UndergraduateSemester|0.000 Credits|HybridCourse,STEMUSG
202105|Aerospace Engineering|Intro Exper Methods AE|58886|AE 2610|A02|Class|3:30 pm - 6:15 pm|W|Engr Science & Mech G4|Wenting   Sun (P)|GraduateSemester,UndergraduateSemester|0.000 Credits|HybridCourse,STEMUSG
202105|Aerospace Engineering|Technical Commun for AE|58869|AE 2611|A|Class|11:00 am - 12:15 pm|F|Skiles 202|Kelly Ann  Griendling (P)|GraduateSemester,UndergraduateSemester|1.000 Credits|HybridCourse,STEMUSG
202105|Aerospace Engineering|Research Assistantship|55379|AE 2698|AHU|Class|TBA||TBA|Krishan K  Ahuja (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|
202105|Aerospace Engineering|Research Assistantship|54011|AE 2698|CLA|Class|TBA||TBA|John-Paul B  Clarke (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|
202105|Aerospace Engineering|Research Assistantship|59949|AE 2698|HO|Class|TBA||TBA|Koki   Ho (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|
202105|Aerospace Engineering|Research Assistantship|55375|AE 2698|MAV|Class|TBA||TBA|Dimitrios N  Mavris (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|
202105|Aerospace Engineering|Research Assistantship|56265|AE 2698|SCH|Class|TBA||TBA|Daniel Patrick  Schrage (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|
202105|Aerospace Engineering|Research Assistantship|57294|AE 2698|SEI|Class|TBA||TBA|Jerry M  Seitzman (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|
202105|Aerospace Engineering|Research Assistantship|60809|AE 2698|STE|Class|TBA||TBA|Adam Michael  Steinberg (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|
202105|Aerospace Engineering|Research Assistantship|59939|AE 2698|VAM|Class|TBA||TBA|Kyriakos   Vamvoudakis (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|
202105|Aerospace Engineering|Research Assistantship|56252|AE 2698|YU|Class|TBA||TBA|Min-Feng   Yu (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|
202105||Undergraduate Research|53690|AE 2699|0||||||GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|55378|AE 2699|AHU|Class|TBA||TBA|Krishan K  Ahuja (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|54012|AE 2699|CLA|Class|TBA||TBA|John-Paul B  Clarke (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|60010|AE 2699|COS|Class|TBA||TBA|Mark Francis  Costello (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences,Res/CP>=101conthrs
202105|Aerospace Engineering|Undergraduate Research|55266|AE 2699|FEI|Class|TBA||TBA|Karen Michelle  Feigh (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|57570|AE 2699|FER|Class|TBA||TBA|Eric Marie J  Feron (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|56881|AE 2699|GER|Class|TBA||TBA|Brian Joseph  German (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|59984|AE 2699|GRI|Class|TBA||TBA|Kelly Ann  Griendling (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences,Res/CP>=101conthrs
202105|Aerospace Engineering|Undergraduate Research|60845|AE 2699|GTL|Class|TBA||TBA|Dimitrios N  Mavris (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences,Res/CP>=101conthrs
202105|Aerospace Engineering|Undergraduate Research|55612|AE 2699|LIE|Class|TBA||TBA|Tim Charles  Lieuwen (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|57505|AE 2699|LIG|Class|TBA||TBA|Edgar Glenn  Lightsey (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
