crn,seatCapacity,seatActual,seatRemaining,waitlistCapacity,waitlistActual,waitlistRemaining
55696,50,33,17,25,0,25
25245,65,65,0,25,9,16
55697,50,16,34,25,0,25
20643,65,65,0,25,13,12
25244,65,27,38,25,0,25
80745,75,75,0,30,0,30
20642,65,50,15,25,0,25
86105,75,75,0,30,0,30
25261,65,32,33,25,0,25
82524,75,74,1,25,0,25
80744,50,50,0,15,0,15
30711,65,64,1,25,0,25
82514,70,64,6,25,0,25
22178,65,65,0,25,0,25
80746,50,31,19,15,0,15
86145,75,73,2,25,0,25
32156,65,12,53,0,0,0
87776,65,63,2,0,0,0
32157,50,6,44,0,0,0
87778,50,45,5,0,0,0
32158,50,8,42,0,0,0
57384,227,227,0,30,0,30
87779,50,15,35,0,0,0
32159,50,7,43,0,0,0
57093,129,130,0,30,0,30
87780,50,16,34,0,0,0
57754,106,103,3,0,0,0
60458,96,81,15,0,0,0
58833,125,109,16,0,0,0
85733,250,250,0,0,0,0
24911,250,248,0,55,40,15
87719,250,250,0,0,0,0
57064,25,24,1,0,0,0
58836,25,28,0,5,0,5
26448,250,249,0,55,51,4
93270,251,251,0,0,0,0
30987,40,22,18,0,0,0
57400,25,10,15,0,0,0
59114,40,33,7,0,0,0
59833,25,22,3,10,0,10
85158,250,250,0,0,0,0
30218,250,249,0,50,34,16
83582,50,42,8,0,0,0
30989,40,11,29,0,0,0
59014,45,25,20,0,0,0
55500,40,33,7,0,0,0
58843,25,19,6,10,0,10
24441,100,100,0,50,28,22
94085,250,250,0,0,0,0
30990,40,11,29,0,0,0
58237,5,1,4,0,0,0
94774,50,42,8,0,0,0
58844,25,23,2,5,0,5
24442,250,249,0,55,55,0
33589,50,22,28,0,0,0
85159,250,250,0,0,0,0
91605,40,28,12,0,0,0
58441,10,0,10,0,0,0
58845,16,17,0,5,0,5
24443,250,250,0,45,41,4
60236,5,5,0,25,0,25
83794,40,28,12,0,0,0
90771,176,176,0,0,0,0
52481,27,21,6,0,0,0
60451,50,46,4,0,0,0
28693,175,174,1,0,0,0
60235,25,24,1,25,0,25
90776,25,22,3,10,0,10
57401,25,6,19,0,0,0
58369,30,17,13,0,0,0
28703,25,25,0,5,3,2
90772,27,26,1,10,0,10
59015,45,14,31,0,0,0
54627,5,1,4,0,0,0
28694,25,25,0,10,6,4
90780,25,25,0,10,0,10
58238,5,3,2,0,0,0
28707,25,25,0,5,5,0
54372,5,0,5,0,0,0
90775,25,24,1,10,0,10
27696,25,23,2,25,0,25
58867,40,36,4,0,0,0
28702,25,25,0,5,4,1
54775,5,0,5,0,0,0
89349,25,25,0,25,0,25
90774,25,26,0,10,0,10
58868,20,19,1,0,0,0
33787,25,11,14,25,0,25
28696,25,25,0,5,5,0
91541,18,14,4,25,0,25
55200,5,4,1,0,0,0
90777,26,28,0,10,0,10
58886,20,17,3,0,0,0
29132,18,15,0,25,23,2
90896,16,17,0,0,0,0
93009,30,26,4,25,0,25
28704,25,24,0,10,10,0
54378,5,0,5,0,0,0
32894,25,9,16,25,0,25
90773,25,25,0,10,0,10
82273,16,17,0,0,0,0
91545,30,30,0,25,0,25
28695,25,25,0,5,3,2
54379,5,0,5,0,0,0
58869,40,35,5,0,0,0
59212,55,16,39,0,0,0
90782,175,174,1,0,0,0
88145,56,56,0,0,0,0
28709,175,174,1,0,0,0
83274,25,14,11,25,0,25
55199,5,3,2,0,0,0
90788,25,25,0,10,0,10
55379,10,0,10,0,0,0
57886,50,50,0,0,0,0
88146,68,69,0,0,0,0
28715,25,25,0,5,0,5
95157,5,5,0,25,0,25
54011,10,0,10,0,0,0
60938,50,50,0,0,0,0
90783,25,26,0,10,0,10
28710,25,25,0,5,1,4
57536,5,0,5,0,0,0
88147,46,47,0,0,0,0
32769,5,5,0,25,0,25
57783,45,31,14,0,0,0
59949,10,0,10,0,0,0
90787,25,25,0,10,0,10
86044,67,64,3,0,0,0
32896,15,13,2,25,0,25
54380,5,2,3,0,0,0
93972,10,8,2,25,0,25
28716,25,25,0,5,1,4
28764,16,6,10,0,0,0
60937,45,31,14,0,0,0
60535,10,1,9,0,0,0
86046,57,57,0,0,0,0
55375,10,1,9,0,0,0
90789,25,23,2,10,0,10
28714,25,25,0,5,2,3
21967,16,6,10,0,0,0
55838,1,0,1,0,0,0
86849,50,4,46,0,0,0
26779,95,82,13,0,0,0
90786,25,25,0,10,0,10
56265,10,0,10,0,0,0
28713,25,25,0,5,5,0
60496,15,0,15,0,0,0
26780,57,56,1,0,0,0
90790,25,25,0,10,0,10
57294,10,0,10,0,0,0
93502,70,60,10,0,0,0
28717,25,24,0,5,5,0
59145,15,12,3,0,0,0
26781,48,9,39,0,0,0
90785,25,25,0,10,0,10
60809,10,0,10,0,0,0
93503,65,46,19,0,0,0
28712,25,25,0,5,3,2
60688,15,14,1,0,0,0
25204,85,78,7,0,0,0
94845,50,50,0,10,0,10
59939,10,0,10,0,0,0
28718,50,45,5,0,0,0
94674,50,0,50,0,0,0
25205,72,23,49,0,0,0
59146,7,3,4,0,0,0
93991,50,50,0,0,0,0
56252,10,0,10,0,0,0
89289,5,1,4,0,0,0
28719,25,24,1,5,0,5
25799,10,2,8,0,0,0
91759,46,45,1,5,0,5
59645,10,5,5,0,0,0
89290,5,3,2,0,0,0
53690,0,0,0,0,0,0
28720,25,21,4,5,0,5
28550,75,63,12,0,0,0
94095,12,8,4,5,0,5
58944,30,26,4,0,0,0
90565,5,2,3,0,0,0
55378,10,0,10,0,0,0
33180,51,49,0,15,11,4
60139,75,29,46,0,0,0
28551,60,14,46,0,0,0
58959,10,2,8,0,0,0
91551,16,8,8,5,0,5
90567,5,2,3,0,0,0
54012,10,0,10,0,0,0
31318,15,15,0,5,0,5
32295,10,2,8,0,0,0
59302,20,9,11,5,0,5
59769,25,8,17,0,0,0
85218,20,17,3,0,0,0
60010,10,1,9,0,0,0
80002,49,45,4,0,0,0
59303,20,11,9,5,0,5
27673,5,2,3,0,0,0
31317,10,3,7,0,0,0
55158,1,0,1,0,0,0
85491,55,53,2,0,0,0
55266,10,0,10,0,0,0
91561,10,3,7,0,0,0
59304,20,8,12,5,0,5
27674,5,0,5,0,0,0
33406,30,20,10,0,0,0
55653,2,0,2,0,0,0
57570,10,0,10,0,0,0
86072,20,11,9,0,0,0
89298,10,2,8,0,0,0
60140,75,15,60,0,0,0
33046,15,7,8,5,0,5
20002,48,48,0,0,0,0
56881,10,0,10,0,0,0
82394,5,0,5,0,0,0
93504,60,32,28,0,0,0
60371,40,19,21,10,0,10
59984,10,0,10,0,0,0
31286,12,1,11,5,0,5
24727,65,65,0,0,0,0
82391,5,0,5,0,0,0
93505,60,49,11,0,0,0
60466,10,1,9,5,0,5
60845,10,1,9,0,0,0
25222,10,9,1,0,0,0
22062,5,0,5,0,0,0
89291,5,0,5,0,0,0
60372,12,8,4,5,0,5
83281,5,3,2,0,0,0
28552,55,40,15,0,0,0
55612,10,1,9,0,0,0
22059,5,0,5,0,0,0
60313,10,2,8,0,0,0
89292,5,1,4,0,0,0
59045,10,1,9,0,0,0
82393,5,0,5,0,0,0
22837,5,1,4,0,0,0
28553,55,51,4,0,0,0
60471,5,0,5,0,0,0
90553,80,0,80,0,0,0
57505,10,0,10,0,0,0
90564,5,0,5,0,0,0
82395,5,0,5,0,0,0
22061,5,0,5,0,0,0
59046,10,0,10,0,0,0
92854,20,12,8,0,0,0
60840,1,1,0,0,0,0
32252,10,8,2,0,0,0
53958,10,1,9,0,0,0
22063,5,1,4,0,0,0
83282,10,7,3,0,0,0
93506,5,0,5,0,0,0
94812,20,12,8,0,0,0
60418,50,24,26,10,0,10
22838,5,3,2,0,0,0
59148,25,18,7,0,0,0
27675,5,0,5,0,0,0
58141,10,2,8,0,0,0
90897,7,7,0,0,0,0
59050,48,38,10,10,0,10
86546,5,0,5,0,0,0
25560,5,0,5,0,0,0
59147,25,17,8,0,0,0
92718,15,13,2,0,0,0
56769,10,0,10,0,0,0
82274,7,7,0,0,0,0
27676,5,4,1,0,0,0
82392,5,2,3,0,0,0
60656,0,1,0,0,0,0
59150,20,16,4,0,0,0
92853,20,12,8,0,0,0
30913,75,66,9,0,0,0
22060,5,1,4,0,0,0
28765,7,7,0,0,0,0
57699,10,1,9,0,0,0
86543,5,1,4,0,0,0
90654,110,111,0,0,0,0
60413,49,46,3,5,0,5
57786,10,2,8,0,0,0
92855,20,12,8,0,0,0
54033,10,0,10,0,0,0
25557,5,0,5,0,0,0
33582,15,0,15,0,0,0
21968,7,7,0,0,0,0
86054,11,12,0,0,0,0
60895,0,1,0,0,0,0
52841,10,0,10,0,0,0
60935,10,2,8,0,0,0
54092,5,0,5,0,0,0
92857,20,11,9,0,0,0
33627,15,0,15,0,0,0
28613,135,134,1,0,0,0
59047,10,1,9,0,0,0
86055,11,12,0,0,0,0
33327,191,190,1,0,0,0
53492,10,0,10,0,0,0
60310,20,13,7,0,0,0
56253,10,0,10,0,0,0
30914,20,0,20,0,0,0
59048,10,2,8,0,0,0
25208,12,12,0,0,0,0
33328,24,24,0,10,0,10
86056,11,11,0,0,0,0
53493,10,0,10,0,0,0
55559,1,0,1,0,0,0
30915,20,0,20,0,0,0
54745,10,0,10,0,0,0
59049,10,0,10,0,0,0
33329,24,24,0,10,4,6
25209,12,12,0,0,0,0
90574,80,77,3,0,0,0
86057,11,10,1,0,0,0
55541,2,0,2,0,0,0
53494,10,0,10,0,0,0
33628,15,0,15,0,0,0
60816,10,1,9,0,0,0
33330,24,23,0,10,3,7
25210,12,12,0,0,0,0
94990,288,286,2,0,0,0
86058,11,11,0,0,0,0
55143,5,1,4,0,0,0
53501,10,0,10,0,0,0
30916,20,0,20,0,0,0
56568,10,0,10,0,0,0
91929,24,21,3,5,0,5
33331,24,24,0,10,1,9
25211,12,12,0,0,0,0
93939,11,11,0,0,0,0
60658,0,1,0,0,0,0
54309,10,1,9,0,0,0
30690,37,37,0,0,0,0
59938,10,0,10,0,0,0
91930,24,18,6,5,0,5
25212,12,12,0,0,0,0
33332,24,24,0,10,1,9
93940,11,11,0,0,0,0
55074,10,0,10,0,0,0
58960,10,0,10,0,0,0
30691,37,28,9,0,0,0
57600,10,0,10,0,0,0
59934,10,2,8,0,0,0
91931,24,18,6,5,0,5
33333,24,24,0,10,2,8
93943,11,11,0,0,0,0
30858,12,12,0,0,0,0
58961,10,11,0,0,0,0
55194,10,0,10,0,0,0
33656,75,59,16,0,0,0
91932,24,20,4,5,0,5
33334,24,24,0,10,2,8
59935,10,2,8,0,0,0
60213,40,31,9,0,0,0
30859,12,12,0,0,0,0
93944,11,11,0,0,0,0
54611,10,0,10,0,0,0
59904,5,0,5,0,0,0
94991,24,24,0,0,0,0
57062,50,14,36,0,0,0
30926,20,0,20,0,0,0
33335,24,23,0,5,2,3
93945,11,11,0,0,0,0
53495,10,0,10,0,0,0
59926,10,2,8,0,0,0
59873,5,0,5,0,0,0
30860,12,12,0,0,0,0
60639,50,24,26,0,0,0
94993,24,23,1,0,0,0
30925,20,0,20,0,0,0
59927,10,2,8,0,0,0
86074,110,111,0,0,0,0
33337,192,95,97,0,0,0
55343,10,0,10,0,0,0
30861,12,11,1,0,0,0
90555,70,0,70,0,0,0
94994,24,24,0,0,0,0
30924,20,0,20,0,0,0
59066,10,0,10,0,0,0
30629,112,110,2,0,0,0
30862,12,12,0,0,0,0
53496,10,0,10,0,0,0
89506,10,0,10,0,0,0
92858,15,12,3,0,0,0
94995,24,24,0,0,0,0
33629,15,0,15,0,0,0
33338,192,135,57,0,0,0
59068,10,0,10,0,0,0
59312,10,1,9,0,0,0
33397,12,10,2,0,0,0
90212,25,0,25,0,0,0
94826,15,12,3,0,0,0
60214,55,40,15,0,0,0
94996,24,24,0,0,0,0
31655,20,19,1,12,0,12
54055,10,2,8,0,0,0
59069,10,0,10,0,0,0
33398,11,5,6,0,0,0
30927,20,0,20,0,0,0
90122,10,0,10,0,0,0
58871,40,20,20,0,0,0
92762,15,13,2,0,0,0
31657,24,24,0,12,0,12
94997,24,24,0,0,0,0
25224,135,134,1,0,0,0
30680,80,70,10,0,0,0
59070,10,0,10,0,0,0
54361,10,0,10,0,0,0
87579,10,0,10,0,0,0
31662,20,19,1,12,0,12
57063,50,16,34,0,0,0
92686,15,11,4,0,0,0
32376,10,0,10,0,0,0
59071,10,1,9,0,0,0
57755,10,0,10,0,0,0
30681,70,55,15,0,0,0
56849,5,0,5,0,0,0
94998,14,14,0,0,0,0
90109,10,0,10,0,0,0
92717,15,12,3,0,0,0
27740,10,0,10,0,0,0
31664,24,24,0,12,0,12
59072,10,0,10,0,0,0
57402,40,18,22,0,0,0
55707,10,0,10,0,0,0
94999,15,15,0,0,0,0
33630,100,37,63,0,0,0
90103,10,0,10,0,0,0
