courseTerm,courseMajor,courseTitle,courseCRN,courseArea,courseSection,courseClass,courseTime,courseDay,courseLocation,courseInstructor,courseUniversity,courseCredit,courseAttribute
202105,Accounting,Accounting II,55697,ACCT 2102,LS,Class,9:30 am - 11:40 am,MTWR,Scheller College of Business 201,Arnold   Schneider,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202105,Accounting,Accounting I,55696,ACCT 2101,ES,Class,12:30 pm - 2:40 pm,MTWR,Scheller College of Business 200,Ryan   Blunck,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202202,Accounting,Accounting I,25245,ACCT 2101,A,Class,12:30 pm - 1:45 pm,MW,Scheller College of Business 103,Eric R  Condie,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202202,Accounting,Accounting I,20643,ACCT 2101,B,Class,2:00 pm - 3:15 pm,MW,Scheller College of Business 103,Eric R  Condie,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202202,Accounting,Accounting I,25244,ACCT 2101,C,Class,9:30 am - 10:45 am,TR,Scheller College of Business 102,Arnold   Schneider,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202202,Accounting,Accounting I,20642,ACCT 2101,D,Class,12:30 pm - 1:45 pm,TR,Scheller College of Business 102,Arnold   Schneider,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202108,Accounting,Accounting I,80745,ACCT 2101,A,Class,11:00 am - 12:15 pm,MW,Scheller College of Business 300,Katarzyna   Rupar,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202108,Accounting,Accounting I,86105,ACCT 2101,B,Class,2:00 pm - 3:15 pm,MW,Scheller College of Business 224,Katarzyna   Rupar,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202108,Accounting,Accounting I,82524,ACCT 2101,C,Class,TBA,,TBA,Arnold   Schneider,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202108,Accounting,Accounting I,80744,ACCT 2101,D,Class,3:30 pm - 4:45 pm,MW,Scheller College of Business 224,Wenqian   Hu,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202108,Accounting,Accounting II,82514,ACCT 2102,A,Class,9:30 am - 10:45 am,MW,Scheller College of Business 224,Ryan   Blunck,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202108,Accounting,Accounting II,80746,ACCT 2102,B,Class,12:30 pm - 1:20 pm,MWF,Scheller College of Business 101,Marvin Anthony  Tingler,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202108,Accounting,Accounting II,86145,ACCT 2102,C,Class,12:30 pm - 1:45 pm,TR,Scheller College of Business 300,Ryan   Blunck,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202202,Accounting,Accounting II,25261,ACCT 2102,A,Class,9:30 am - 10:45 am,TR,Scheller College of Business 200,Xi   Kuang,"GraduateSemester,UndergraduateSemester",3.000 Credits,
