courseTerm|courseMajor|courseTitle|courseCRN|courseArea|courseSection|courseClass|courseTime|courseDay|courseLocation|courseInstructor|courseUniversity|courseCredit|courseAttribute
202202|Air Force Aerospace Studies|Air Force Leadership-Lab|27671|AS 1000|A|Class|6:30 am - 7:45 am|TR|TBA|Mandela Edward  Littleton|GraduateSemester,UndergraduateSemester|1.000 Credits|
202202|Air Force Aerospace Studies|Foundations of the AF II|32156|AS 1120|A1|Class|8:25 am - 9:15 am|R|O'Keefe 202|Mandela Edward  Littleton|GraduateSemester,UndergraduateSemester|1.000 Credits|
202202|Air Force Aerospace Studies|US Air & Space Power II|32157|AS 2220|A1|Class|8:25 am - 9:15 am|T|O'Keefe 202|Timothy   Spear|GraduateSemester,UndergraduateSemester|1.000 Credits|
202202|Air Force Aerospace Studies|Leadership Studies II|32158|AS 3320|A1|Class|8:00 am - 9:15 am|TR|O'Keefe 202|Minh Cao  Pham|GraduateSemester,UndergraduateSemester|3.000 Credits|
202202|Air Force Aerospace Studies|Prep for Active Duty|32159|AS 4420|A1|Class|8:00 am - 9:15 am|TR|O'Keefe 202|David   Cumings|GraduateSemester,UndergraduateSemester|3.000 Credits|
202205|Accounting|Accounting I: Financial Accounting|52923|ACCT 2101|ES|Class|12:30 pm - 2:40 pm|MTWR|Scheller College of Business 222|Eric R  Condie|GraduateSemester,UndergraduateSemester|3.000 Credits|
202202|Accounting|Accounting I|25245|ACCT 2101|A|Class|12:30 pm - 1:45 pm|MW|Scheller College of Business 103|Eric R  Condie|GraduateSemester,UndergraduateSemester|3.000 Credits|
202202|Accounting|Accounting I|20643|ACCT 2101|B|Class|2:00 pm - 3:15 pm|MW|Scheller College of Business 103|Eric R  Condie|GraduateSemester,UndergraduateSemester|3.000 Credits|
202202|Accounting|Accounting I|25244|ACCT 2101|C|Class|9:30 am - 10:45 am|TR|Scheller College of Business 102|Arnold   Schneider|GraduateSemester,UndergraduateSemester|3.000 Credits|
202202|Accounting|Accounting I|20642|ACCT 2101|D|Class|12:30 pm - 1:45 pm|TR|Scheller College of Business 102|Arnold   Schneider|GraduateSemester,UndergraduateSemester|3.000 Credits|
202202|Accounting|Accounting II|25261|ACCT 2102|A|Class|9:30 am - 10:45 am|TR|Scheller College of Business 224|Xi   Kuang|GraduateSemester,UndergraduateSemester|3.000 Credits|
202202|Accounting|Accounting II|30711|ACCT 2102|B|Class|12:30 pm - 1:45 pm|TR|Scheller College of Business 222|Xi   Kuang|GraduateSemester,UndergraduateSemester|3.000 Credits|
202202|Accounting|Accounting II|22178|ACCT 2102|C|Class|2:00 pm - 3:15 pm|TR|Scheller College of Business 222|Xi   Kuang|GraduateSemester,UndergraduateSemester|3.000 Credits|
202208|Accounting|Accounting I|80684|ACCT 2101|A|Class|11:00 am - 12:15 pm|MW|Scheller College of Business 224|Nicole Lena  Mackenzie|GraduateSemester,UndergraduateSemester|3.000 Credits|
202208|Accounting|Accounting I|85488|ACCT 2101|B|Class|2:00 pm - 3:15 pm|MW|Scheller College of Business 202|Nicole Lena  Mackenzie|GraduateSemester,UndergraduateSemester|3.000 Credits|
202208|Accounting|Accounting I|82300|ACCT 2101|C|Class|9:30 am - 10:45 am|TR|Scheller College of Business 201|Katarzyna   Rupar|GraduateSemester,UndergraduateSemester|3.000 Credits|
202208|Accounting|Accounting I|80683|ACCT 2101|D|Class|12:30 pm - 1:45 pm|TR|Scheller College of Business 201|Katarzyna   Rupar|GraduateSemester,UndergraduateSemester|3.000 Credits|
202208|Accounting|Accounting I|94194|ACCT 2101|E|Class|12:30 pm - 1:45 pm|T|Scheller College of Business 202|Ryan   Blunck|GraduateSemester,UndergraduateSemester|3.000 Credits|
202208|Accounting|Accounting II|82295|ACCT 2102|A|Class|9:30 am - 10:45 am|MW|Scheller College of Business 224|Ryan   Blunck|GraduateSemester,UndergraduateSemester|3.000 Credits|
202208|Accounting|Accounting II|85522|ACCT 2102|B|Class|2:00 pm - 3:15 pm|TR|Scheller College of Business 201|Arnold   Schneider|GraduateSemester,UndergraduateSemester|3.000 Credits|
202208|Accounting|Accounting II|80685|ACCT 2102|C|Class|3:30 pm - 4:45 pm|TR|Scheller College of Business 222|Charles Austin  Irons|GraduateSemester,UndergraduateSemester|3.000 Credits|
202208|Air Force Aerospace Studies|Air Force Leadership-Lab|88224|AS 1000|1|Class|6:00 am - 7:15 am|TR|TBA|Timothy   Spear|GraduateSemester,UndergraduateSemester|1.000 Credits|
202208|Air Force Aerospace Studies|Foundations of the AF I|86924|AS 1110|A1|Class|8:25 am - 9:15 am|R|O'Keefe 202|Timothy   Spear|GraduateSemester,UndergraduateSemester|1.000 Credits|
202208|Air Force Aerospace Studies|US Air & Space Power I|86925|AS 2210|A1|Class|8:25 am - 9:15 am|T|O'Keefe 202|David   Cumings|GraduateSemester,UndergraduateSemester|1.000 Credits|
202208|Air Force Aerospace Studies|Leadership Studies I|86926|AS 3310|A1|Class|8:00 am - 9:15 am|TR|O'Keefe 202|Kaitlin   Morgan|GraduateSemester,UndergraduateSemester|3.000 Credits|
202208|Air Force Aerospace Studies|National Security Affair|86927|AS 4410|A1|Class|8:00 am - 9:15 am|TR|O'Keefe 202|John   Wallner|GraduateSemester,UndergraduateSemester|3.000 Credits|
202205|Applied Physiology|Scientific Foundations of Health|54413|APPH 1040|ES|Class|TBA||TBA|Lesley   Baradel|UndergraduateSemester|2.000 Credits|
202205|Applied Physiology|Scientific Foundations of Health|57200|APPH 1040|GLO|Class|9:30 am - 12:15 pm|MTWRF|Scheller College of Business 300|Teresa Kay  Snow|UndergraduateSemester|2.000 Credits|
202205|Applied Physiology|Scientific Foundations of Health|54150|APPH 1040|LS1|Class|12:30 pm - 3:15 pm|TR|Clough UG Learning Commons 144|Adam J  Decker|UndergraduateSemester|2.000 Credits|
202205|Applied Physiology|Scientific Foundations of Health|57407|APPH 1040|LS2|Class|12:30 pm - 3:15 pm|MW|College of Computing 16|Lesley   Baradel|UndergraduateSemester|2.000 Credits|
202205|Applied Physiology|Scientific Foundations of Health|54737|APPH 1040|SF1|Class|12:30 pm - 3:15 pm|TR|Clough UG Learning Commons 144|Adam J  Decker|UndergraduateSemester|2.000 Credits|
