courseTerm|crn|seatCapacity|seatActual|seatRemaining|waitlistCapacity|waitlistActual|waitlistRemaining
202205|52923|75|23|52|25|0|25
202302|25096|65|0|65|25|0|25
202208|80684|70|70|0|25|0|25
202302|20631|65|0|65|25|0|25
202208|85488|70|70|0|25|0|25
202302|25095|65|0|65|25|0|25
202208|82300|70|70|0|25|0|25
202302|20630|65|0|65|25|0|25
202208|80683|70|69|1|25|0|25
202302|25111|65|0|65|25|0|25
202208|94194|70|69|1|25|0|25
202302|30045|65|0|65|25|0|25
202208|82295|72|70|2|25|0|25
202302|22134|65|0|65|25|0|25
202208|85522|72|35|37|25|0|25
202208|80685|50|41|9|20|0|20
202302|31072|65|0|65|0|0|0
202208|88224|150|100|50|0|0|0
202208|86924|65|47|18|0|0|0
202302|31073|50|0|50|0|0|0
202205|54413|250|245|5|0|0|0
202208|86925|50|37|13|0|0|0
202302|31074|50|0|50|0|0|0
202205|57200|100|93|7|0|0|0
202208|86926|50|15|35|0|0|0
202302|24776|250|0|250|55|0|55
202302|31075|50|0|50|0|0|0
202208|86927|50|16|34|0|0|0
202205|54150|100|85|15|30|0|30
202208|85161|250|250|0|0|0|0
202302|26245|250|0|250|55|0|55
202205|57407|50|46|4|0|0|0
202205|54126|25|18|7|0|0|0
202302|29615|250|0|250|50|0|50
202208|86876|250|247|3|0|0|0
202205|54737|150|149|1|0|0|0
202205|54424|50|8|42|0|0|0
202208|91164|250|250|0|0|0|0
202302|33966|250|0|250|25|0|25
202205|54799|40|38|2|0|0|0
202205|57409|190|102|88|0|0|0
202205|55608|26|17|9|0|0|0
202205|55672|40|28|12|0|0|0
202302|24317|250|0|250|50|0|50
202208|92994|250|249|1|0|0|0
202205|55134|5|1|4|0|0|0
202205|55514|124|72|52|0|0|0
202302|30254|40|0|40|0|0|0
202208|84640|250|248|2|0|0|0
202205|52757|40|28|12|0|0|0
202302|24318|250|0|250|55|0|55
202205|57463|10|1|9|0|0|0
202208|83265|50|27|23|0|0|0
202302|30255|40|0|40|0|0|0
202205|55517|25|20|5|5|0|5
202208|91820|250|250|0|0|0|0
202302|24319|250|0|250|40|0|40
202205|50002|27|11|16|0|0|0
202208|92414|50|27|23|0|0|0
202302|30256|40|0|40|0|0|0
202208|84641|250|249|1|0|0|0
202302|34029|30|0|30|0|0|0
202205|55523|25|12|13|10|0|10
202208|89912|40|36|4|0|0|0
202205|54425|50|8|42|0|0|0
202302|32274|50|0|50|0|0|0
202208|89339|175|173|2|0|0|0
202302|28277|175|0|175|0|0|0
202205|56059|25|25|0|10|0|10
202208|83436|40|36|4|0|0|0
202205|55609|45|6|39|0|0|0
