seatCapacity,seatActual,seatRemaining,waitlistCapacity,waitlistActual,waitlistRemaining
25,24,1,0,0,0
50,33,17,25,0,25
50,16,34,25,0,25
25,10,15,0,0,0
45,25,20,0,0,0
10,0,10,0,0,0
27,21,6,0,0,0
5,1,4,0,0,0
25,6,19,0,0,0
45,14,31,0,0,0
40,36,4,0,0,0
5,3,2,0,0,0
20,19,1,0,0,0
40,35,5,0,0,0
20,17,3,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,1,9,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,1,9,0,0,0
10,0,10,0,0,0
0,0,0,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,1,9,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,1,9,0,0,0
10,0,10,0,0,0
10,1,9,0,0,0
10,0,10,0,0,0
10,1,9,0,0,0
10,2,8,0,0,0
10,0,10,0,0,0
5,0,5,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,1,9,0,0,0
10,0,10,0,0,0
40,31,9,0,0,0
10,0,10,0,0,0
50,14,36,0,0,0
10,0,10,0,0,0
50,24,26,0,0,0
55,40,15,0,0,0
40,18,22,0,0,0
40,20,20,0,0,0
50,16,34,0,0,0
0,1,0,0,0,0
65,38,27,0,0,0
40,13,27,0,0,0
60,53,7,0,0,0
40,14,26,0,0,0
55,30,25,0,0,0
30,4,26,0,0,0
10,0,10,0,0,0
40,6,34,0,0,0
55,15,40,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,1,9,0,0,0
10,2,8,0,0,0
10,0,10,0,0,0
1,0,1,0,0,0
10,0,10,10,0,10
20,5,15,0,0,0
10,0,10,0,0,0
5,1,4,0,0,0
10,1,9,0,0,0
20,0,20,0,0,0
10,0,10,0,0,0
5,0,5,0,0,0
10,0,10,0,0,0
5,0,5,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,1,9,0,0,0
10,0,10,0,0,0
10,0,10,10,0,10
4,0,4,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,4,6,0,0,0
10,1,9,0,0,0
25,8,17,0,0,0
20,0,20,0,0,0
10,0,10,0,0,0
5,0,5,0,0,0
45,8,37,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
15,0,15,0,0,0
10,0,10,0,0,0
10,2,8,0,0,0
10,1,9,0,0,0
10,3,7,0,0,0
10,1,9,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,1,9,0,0,0
40,22,18,0,0,0
0,6,0,0,0,0
35,7,28,0,0,0
30,3,27,0,0,0
32,30,2,0,0,0
10,5,5,0,0,0
30,2,28,0,0,0
10,1,9,0,0,0
25,15,10,0,0,0
32,0,32,0,0,0
15,7,8,0,0,0
14,7,7,0,0,0
10,2,8,0,0,0
10,2,8,0,0,0
0,0,0,0,0,0
10,1,9,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,2,8,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,0,10,0,0,0
10,1,9,0,0,0
10,0,10,0,0,0
10,1,9,0,0,0
100,27,73,0,0,0
10,2,8,10,0,10
10,0,10,0,0,0
10,2,8,0,0,0
10,0,10,0,0,0
