courseTerm,courseMajor,courseTitle,courseCRN,courseArea,courseSection,courseClass,courseTime,courseDay,courseLocation,courseInstructor,courseUniversity,courseCredit,courseAttribute
202202,Accounting,Accounting II,25261,ACCT 2102,A,Class,9:30 am - 10:45 am,TR,Scheller College of Business 200,Xi   Kuang,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202202,Accounting,Accounting II,30711,ACCT 2102,B,Class,12:30 pm - 1:45 pm,TR,Scheller College of Business 222,Xi   Kuang,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202202,Accounting,Accounting II,22178,ACCT 2102,C,Class,2:00 pm - 3:15 pm,TR,Scheller College of Business 222,Xi   Kuang,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202202,Accounting,Accounting I,25245,ACCT 2101,A,Class,12:30 pm - 1:45 pm,MW,Scheller College of Business 103,Eric R  Condie,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202202,Accounting,Accounting I,20643,ACCT 2101,B,Class,2:00 pm - 3:15 pm,MW,Scheller College of Business 103,Eric R  Condie,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202202,Accounting,Accounting I,25244,ACCT 2101,C,Class,9:30 am - 10:45 am,TR,Scheller College of Business 102,Arnold   Schneider,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202202,Accounting,Accounting I,20642,ACCT 2101,D,Class,12:30 pm - 1:45 pm,TR,Scheller College of Business 102,Arnold   Schneider,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202202,Aerospace Engineering,Introduction to AE,26779,AE 1601,A,Class,9:30 am - 10:45 am,TR,Instructional Center 211,Kelly Ann  Griendling,"GraduateSemester,UndergraduateSemester",1.000 Credits,
202202,Aerospace Engineering,Introduction to AE,26780,AE 1601,B,Class,12:30 pm - 1:45 pm,TR,Skiles 202,Stephen M  Ruffin,"GraduateSemester,UndergraduateSemester",1.000 Credits,
202202,Aerospace Engineering,Introduction to AE,26781,AE 1601,C,Class,2:00 pm - 3:15 pm,TR,Skiles 249,Stephen M  Ruffin,"GraduateSemester,UndergraduateSemester",1.000 Credits,
202202,Aerospace Engineering,Design Competition I,28764,AE 1355,A,Class,5:00 pm - 5:50 pm,T,Guggenheim Aerospace 244,Carl Christopher  Johnson,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202202,Aerospace Engineering,Design Competition I,21967,AE 1355,A01,Class,6:30 pm - 9:15 pm,TR,Guggenheim Aerospace 244,Carl Christopher  Johnson,"GraduateSemester,UndergraduateSemester",0.000 Credits,
202202,Aerospace Engineering,AE 2010 Recitation,28550,AE 2010R,A,Class,6:30 pm - 7:45 pm,W,Guggenheim Aerospace 442,Turab Ali  Zaidi,"GraduateSemester,UndergraduateSemester",0.000 Credits,
202202,Aerospace Engineering,AE 2010 Recitation,28551,AE 2010R,B,Class,6:30 pm - 7:45 pm,R,Guggenheim Aerospace 442,Wenting   Sun,"GraduateSemester,UndergraduateSemester",0.000 Credits,
202202,Aerospace Engineering,AE 2010 Recitation,32295,AE 2010R,R,Class,3:00 pm - 3:50 pm,T,TBA,Mackenzie Hing Kiang  Lau,"GraduateSemester,UndergraduateSemester",0.000 Credits,
202202,Aerospace Engineering,Thermodyn&Fluids Fundam,25204,AE 2010,A,Class,8:25 am - 10:20 am,WF,Guggenheim Aerospace 442,Turab Ali  Zaidi,"GraduateSemester,UndergraduateSemester",4.000 Credits,
202202,Aerospace Engineering,Thermodyn&Fluids Fundam,25205,AE 2010,B,Class,8:25 am - 10:20 am,TR,Ford Environmental Sci & Tech L1205,Wenting   Sun,"GraduateSemester,UndergraduateSemester",4.000 Credits,
202202,Aerospace Engineering,Thermodyn&Fluids Fundam,25799,AE 2010,R,Class,11:00 am - 12:15 pm,MW,TBA,Mackenzie Hing Kiang  Lau,"GraduateSemester,UndergraduateSemester",4.000 Credits,
202202,Aerospace Engineering,Fluids Fundamentals,27673,AE 2011,A,Class,8:25 am - 10:20 am,WF,Guggenheim Aerospace 442,Turab Ali  Zaidi,"GraduateSemester,UndergraduateSemester",2.000 Credits,
202202,Aerospace Engineering,Fluids Fundamentals,27674,AE 2011,B,Class,8:25 am - 10:20 am,TR,Ford Environmental Sci & Tech L1205,Wenting   Sun,"GraduateSemester,UndergraduateSemester",2.000 Credits,
202202,Aerospace Engineering,AE 2220 Recitation,28552,AE 2220R,A,Class,6:30 pm - 7:45 pm,T,Guggenheim Aerospace 442,Mayuresh Jayawant  Patil,"GraduateSemester,UndergraduateSemester",0.000 Credits,
202202,Aerospace Engineering,AE 2220 Recitation,28553,AE 2220R,B,Class,6:30 pm - 7:45 pm,M,Guggenheim Aerospace 442,Turab Ali  Zaidi,"GraduateSemester,UndergraduateSemester",0.000 Credits,
202202,Aerospace Engineering,AE 2220 Recitation,32252,AE 2220R,Q3,Class,TBA,,TBA,Mayuresh Jayawant  Patil,"GraduateSemester,UndergraduateSemester",0.000 Credits,
202202,Aerospace Engineering,Dynamics,20002,AE 2220,A,Class,9:30 am - 10:45 am,TR,Guggenheim Aerospace 244,Mayuresh Jayawant  Patil,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202202,Aerospace Engineering,Dynamics,24727,AE 2220,B,Class,2:00 pm - 2:50 pm,MWF,Skiles 249,Turab Ali  Zaidi,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202202,Aerospace Engineering,Dynamics,25222,AE 2220,Q3,Class,TBA,,TBA,Mayuresh Jayawant  Patil,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202202,Aerospace Engineering,3D Dynamics,27675,AE 2221,A,Class,9:30 am - 10:45 am,TR,Guggenheim Aerospace 244,Mayuresh Jayawant  Patil,"GraduateSemester,UndergraduateSemester",1.000 Credits,
202202,Aerospace Engineering,3D Dynamics,27676,AE 2221,B,Class,2:00 pm - 2:50 pm,MWF,Skiles 249,Turab Ali  Zaidi,"GraduateSemester,UndergraduateSemester",1.000 Credits,
202202,Aerospace Engineering,Design Competition II,28765,AE 2355,A,Class,5:00 pm - 5:50 pm,T,Guggenheim Aerospace 244,Carl Christopher  Johnson,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202202,Aerospace Engineering,Design Competition II,21968,AE 2355,A01,Class,6:30 pm - 9:15 pm,TR,Guggenheim Aerospace 244,Carl Christopher  Johnson,"GraduateSemester,UndergraduateSemester",0.000 Credits,
202202,Aerospace Engineering,Intro Exper Methods AE,28613,AE 2610,A,Class,12:30 pm - 1:20 pm,W,Boggs B5,Jechiel   Jagoda,"GraduateSemester,UndergraduateSemester",1.000 Credits,
202202,Aerospace Engineering,Intro Exper Methods AE,25208,AE 2610,A01,Class,3:30 pm - 5:25 pm,M,Engineering Sci and Mechanics G4,Jechiel   Jagoda,"GraduateSemester,UndergraduateSemester",0.000 Credits,
202202,Aerospace Engineering,Intro Exper Methods AE,25209,AE 2610,A02,Class,3:30 pm - 5:25 pm,T,Engineering Sci and Mechanics G4,Jechiel   Jagoda,"GraduateSemester,UndergraduateSemester",0.000 Credits,
202202,Aerospace Engineering,Intro Exper Methods AE,25210,AE 2610,A03,Class,3:30 pm - 5:25 pm,W,Engineering Sci and Mechanics G4,Jechiel   Jagoda,"GraduateSemester,UndergraduateSemester",0.000 Credits,
202202,Aerospace Engineering,Intro Exper Methods AE,25211,AE 2610,A04,Class,3:30 pm - 5:25 pm,R,Engineering Sci and Mechanics G4,Jechiel   Jagoda,"GraduateSemester,UndergraduateSemester",0.000 Credits,
202202,Aerospace Engineering,Intro Exper Methods AE,25212,AE 2610,A05,Class,3:30 pm - 5:25 pm,F,Engineering Sci and Mechanics G4,Jechiel   Jagoda,"GraduateSemester,UndergraduateSemester",0.000 Credits,
202202,Aerospace Engineering,Intro Exper Methods AE,30858,AE 2610,A06,Class,5:00 pm - 6:55 pm,M,Engineering Sci and Mechanics G4,Jechiel   Jagoda,"GraduateSemester,UndergraduateSemester",0.000 Credits,
202202,Aerospace Engineering,Intro Exper Methods AE,30859,AE 2610,A07,Class,5:00 pm - 6:55 pm,T,Engineering Sci and Mechanics G4,Jechiel   Jagoda,"GraduateSemester,UndergraduateSemester",0.000 Credits,
202202,Aerospace Engineering,Intro Exper Methods AE,30860,AE 2610,A08,Class,5:00 pm - 6:55 pm,W,Engineering Sci and Mechanics G4,Jechiel   Jagoda,"GraduateSemester,UndergraduateSemester",0.000 Credits,
202202,Aerospace Engineering,Intro Exper Methods AE,30861,AE 2610,A09,Class,5:00 pm - 6:55 pm,R,Engineering Sci and Mechanics G4,Juergen   Rauleder,"GraduateSemester,UndergraduateSemester",0.000 Credits,
202202,Aerospace Engineering,Intro Exper Methods AE,30862,AE 2610,A10,Class,5:00 pm - 6:55 pm,F,Engineering Sci and Mechanics G4,Graeme J  Kennedy,"GraduateSemester,UndergraduateSemester",0.000 Credits,
202202,Aerospace Engineering,Intro Exper Methods AE,33397,AE 2610,A11,Class,8:25 am - 10:20 am,W,Engineering Sci and Mechanics G4,Jechiel   Jagoda,"GraduateSemester,UndergraduateSemester",0.000 Credits,
