seat,waitlistSeat
"(65,31,34)","(25,0,25)"
"(65,60,5)","(25,0,25)"
"(65,65,0)","(25,0,25)"
"(65,65,0)","(25,4,21)"
"(65,65,0)","(25,0,25)"
"(65,5,60)","(25,0,25)"
"(65,17,48)","(25,0,25)"
"(16,6,10)","(0,0,0)"
"(16,6,10)","(0,0,0)"
"(95,75,20)","(0,0,0)"
"(57,57,0)","(0,0,0)"
"(48,8,40)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(75,63,12)","(0,0,0)"
"(60,13,47)","(0,0,0)"
"(10,2,8)","(0,0,0)"
"(85,77,8)","(0,0,0)"
"(72,22,50)","(0,0,0)"
"(10,3,7)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(5,3,2)","(0,0,0)"
"(48,48,0)","(0,0,0)"
"(65,65,0)","(0,0,0)"
"(10,9,1)","(0,0,0)"
"(7,6,1)","(0,0,0)"
"(7,6,1)","(0,0,0)"
"(135,135,0)","(0,0,0)"
"(55,41,14)","(0,0,0)"
"(55,49,6)","(0,0,0)"
"(10,8,2)","(0,0,0)"
"(92,91,1)","(0,0,0)"
"(95,95,0)","(0,0,0)"
"(95,81,14)","(0,0,0)"
"(90,41,49)","(0,0,0)"
"(65,55,10)","(0,0,0)"
"(95,95,0)","(0,0,0)"
"(135,135,0)","(0,0,0)"
"(12,12,0)","(0,0,0)"
"(12,12,0)","(0,0,0)"
"(12,12,0)","(0,0,0)"
"(12,12,0)","(0,0,0)"
"(12,12,0)","(0,0,0)"
"(12,12,0)","(0,0,0)"
"(12,12,0)","(0,0,0)"
"(12,12,0)","(0,0,0)"
"(12,12,0)","(0,0,0)"
"(12,12,0)","(0,0,0)"
"(12,11,1)","(0,0,0)"
"(11,4,7)","(0,0,0)"
"(11,4,7)","(0,0,0)"
"(11,4,7)","(0,0,0)"
"(105,95,10)","(0,0,0)"
"(75,63,12)","(0,0,0)"
"(91,39,52)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(25,0,25)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(45,18,27)","(0,0,0)"
"(85,39,46)","(0,0,0)"
"(55,26,29)","(0,0,0)"
"(55,26,29)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(85,73,12)","(0,0,0)"
"(85,73,12)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(25,13,12)","(0,0,0)"
"(25,13,12)","(0,0,0)"
"(4,0,4)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(105,104,1)","(0,0,0)"
"(8,4,4)","(0,0,0)"
"(8,4,4)","(0,0,0)"
"(65,59,6)","(0,0,0)"
"(65,57,8)","(0,0,0)"
"(90,47,43)","(0,0,0)"
"(140,140,0)","(0,0,0)"
"(8,8,0)","(0,0,0)"
"(8,8,0)","(0,0,0)"
"(8,8,0)","(0,0,0)"
"(8,8,0)","(0,0,0)"
"(8,8,0)","(0,0,0)"
"(8,8,0)","(0,0,0)"
"(8,8,0)","(0,0,0)"
"(8,8,0)","(0,0,0)"
"(8,8,0)","(0,0,0)"
"(8,8,0)","(0,0,0)"
"(8,8,0)","(0,0,0)"
"(8,8,0)","(0,0,0)"
"(8,8,0)","(0,0,0)"
"(8,8,0)","(0,0,0)"
"(8,8,0)","(0,0,0)"
"(8,8,0)","(0,0,0)"
"(8,8,0)","(0,0,0)"
